,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
11,6.1829131896,6.2591635943,6.3323531349,6.3987817648,6.4551267007,6.49949089,6.5318876891,6.5541449842,6.5693309114,6.5809041188,6.5918434802,6.6039995327,6.6178353761,6.6326083393,6.6469169497,6.6594350025,6.6696035097,6.6780654915,6.6867035343,6.698254748,6.7156003195,6.7409233008,6.7749717862,6.8166429109,6.8630216461,6.9098889647,6.9525887391,6.9870454123,7.0106812457,7.0230043667,7.0257208999,7.0223442461,7.0174003161,7.0154262507,7.0200065315,7.0330733961,7.0546241528,7.0828974604,7.1149341117,7.1473562433,7.1771554209,7.2022941409,7.2219903439,7.2366502422,7.2475130966,7.256144906,7.2639468838,7.2718232864,7.2800910561,7.2886327953
12,6.1260543913,6.202304796,6.2754943366,6.3419229666,6.3982679024,6.4426320917,6.4750288908,6.497286186,6.5124721131,6.5240453205,6.534984682,6.5471407344,6.5609765778,6.575749541,6.5900581514,6.6025762042,6.6127447115,6.6212066933,6.629844736,6.6413959497,6.6587415212,6.6840645025,6.7181129879,6.7597841127,6.8061628478,6.8530301665,6.8957299408,6.930186614,6.9538224475,6.9661455685,6.9688621016,6.9654854478,6.9605415178,6.9585674524,6.9631477332,6.9762145979,6.9977653546,7.0260386621,7.0580753135,7.090497445,7.1202966227,7.1454353427,7.1651315456,7.1797914439,7.1906542983,7.1992861078,7.2070880855,7.2149644881,7.2232322578,7.2317739971
13,6.0882180946,6.1644684993,6.2376580399,6.3040866699,6.3604316057,6.404795795,6.4371925941,6.4594498893,6.4746358164,6.4862090238,6.4971483853,6.5093044377,6.5231402811,6.5379132443,6.5522218547,6.5647399075,6.5749084147,6.5833703966,6.5920084393,6.603559653,6.6209052245,6.6462282058,6.6802766912,6.721947816,6.7683265511,6.8151938698,6.8578936441,6.8923503173,6.9159861508,6.9283092718,6.9310258049,6.9276491511,6.9227052211,6.9207311557,6.9253114365,6.9383783012,6.9599290579,6.9882023654,7.0202390168,7.0526611483,7.082460326,7.1075990459,7.1272952489,7.1419551472,7.1528180016,7.1614498111,7.1692517888,7.1771281914,7.1853959611,7.1939377003
14,6.0631725402,6.1394229448,6.2126124855,6.2790411154,6.3353860513,6.3797502406,6.4121470397,6.4344043348,6.449590262,6.4611634694,6.4721028308,6.4842588833,6.4980947267,6.5128676899,6.5271763003,6.5396943531,6.5498628603,6.5583248421,6.5669628849,6.5785140986,6.5958596701,6.6211826514,6.6552311368,6.6969022615,6.7432809967,6.7901483153,6.8328480897,6.8673047629,6.8909405963,6.9032637173,6.9059802505,6.9026035967,6.8976596667,6.8956856013,6.9002658821,6.9133327467,6.9348835034,6.963156811,6.9951934623,7.0276155939,7.0574147715,7.0825534915,7.1022496945,7.1169095928,7.1277724472,7.1364042566,7.1442062344,7.152082637,7.1603504067,7.1688921459
15,6.0446163869,6.1208667915,6.1940563322,6.2604849621,6.316829898,6.3611940873,6.3935908864,6.4158481815,6.4310341087,6.4426073161,6.4535466775,6.46570273,6.4795385734,6.4943115366,6.508620147,6.5211381998,6.531306707,6.5397686888,6.5484067316,6.5599579453,6.5773035168,6.6026264981,6.6366749835,6.6783461082,6.7247248434,6.771592162,6.8142919364,6.8487486096,6.872384443,6.884707564,6.8874240972,6.8840474434,6.8791035134,6.877129448,6.8817097288,6.8947765934,6.9163273501,6.9446006577,6.976637309,7.0090594406,7.0388586182,7.0639973382,7.0836935412,7.0983534395,7.1092162939,7.1178481033,7.1256500811,7.1335264837,7.1417942534,7.1503359926
16,6.0267837491,6.1030341538,6.1762236944,6.2426523244,6.2989972602,6.3433614495,6.3757582486,6.3980155438,6.4132014709,6.4247746783,6.4357140398,6.4478700922,6.4617059356,6.4764788988,6.4907875092,6.503305562,6.5134740693,6.5219360511,6.5305740938,6.5421253075,6.559470879,6.5847938604,6.6188423457,6.6605134705,6.7068922057,6.7537595243,6.7964592986,6.8309159718,6.8545518053,6.8668749263,6.8695914594,6.8662148056,6.8612708756,6.8592968103,6.863877091,6.8769439557,6.8984947124,6.9267680199,6.9588046713,6.9912268029,7.0210259805,7.0461647005,7.0658609034,7.0805208018,7.0913836561,7.1000154656,7.1078174433,7.1156938459,7.1239616156,7.1325033549
17,6.0049603042,6.0812107089,6.1544002495,6.2208288795,6.2771738153,6.3215380046,6.3539348037,6.3761920989,6.391378026,6.4029512334,6.4138905949,6.4260466473,6.4398824907,6.4546554539,6.4689640643,6.4814821171,6.4916506244,6.5001126062,6.5087506489,6.5203018626,6.5376474341,6.5629704155,6.5970189008,6.6386900256,6.6850687607,6.7319360794,6.7746358537,6.8090925269,6.8327283604,6.8450514814,6.8477680145,6.8443913607,6.8394474307,6.8374733654,6.8420536461,6.8551205108,6.8766712675,6.904944575,6.9369812264,6.969403358,6.9992025356,7.0243412556,7.0440374585,7.0586973569,7.0695602112,7.0781920207,7.0859939984,7.093870401,7.1021381707,7.11067991
18,5.9758587953,6.0521092,6.1252987406,6.1917273706,6.2480723064,6.2924364957,6.3248332949,6.34709059,6.3622765172,6.3738497246,6.384789086,6.3969451384,6.4107809818,6.425553945,6.4398625555,6.4523806082,6.4625491155,6.4710110973,6.4796491401,6.4912003537,6.5085459252,6.5338689066,6.567917392,6.6095885167,6.6559672519,6.7028345705,6.7455343448,6.779991018,6.8036268515,6.8159499725,6.8186665056,6.8152898518,6.8103459218,6.8083718565,6.8129521372,6.8260190019,6.8475697586,6.8758430662,6.9078797175,6.9403018491,6.9701010267,6.9952397467,7.0149359496,7.029595848,7.0404587023,7.0490905118,7.0568924895,7.0647688921,7.0730366618,7.0815784011
19,5.9378196306,6.0140700353,6.0872595759,6.1536882059,6.2100331417,6.254397331,6.2867941302,6.3090514253,6.3242373524,6.3358105598,6.3467499213,6.3589059737,6.3727418171,6.3875147803,6.4018233908,6.4143414435,6.4245099508,6.4329719326,6.4416099754,6.453161189,6.4705067605,6.4958297419,6.5298782273,6.571549352,6.6179280872,6.6647954058,6.7074951801,6.7419518533,6.7655876868,6.7779108078,6.7806273409,6.7772506871,6.7723067571,6.7703326918,6.7749129725,6.7879798372,6.8095305939,6.8378039014,6.8698405528,6.9022626844,6.932061862,6.957200582,6.9768967849,6.9915566833,7.0024195376,7.0110513471,7.0188533248,7.0267297274,7.0349974971,7.0435392364
20,5.8908227886,5.9670731933,6.0402627339,6.1066913639,6.1630362997,6.207400489,6.2397972881,6.2620545833,6.2772405104,6.2888137178,6.2997530793,6.3119091317,6.3257449751,6.3405179383,6.3548265487,6.3673446015,6.3775131088,6.3859750906,6.3946131333,6.406164347,6.4235099185,6.4488328999,6.4828813852,6.52455251,6.5709312451,6.6177985638,6.6604983381,6.6949550113,6.7185908448,6.7309139658,6.7336304989,6.7302538451,6.7253099151,6.7233358498,6.7279161305,6.7409829952,6.7625337519,6.7908070594,6.8228437108,6.8552658424,6.88506502,6.91020374,6.9298999429,6.9445598413,6.9554226956,6.9640545051,6.9718564828,6.9797328854,6.9880006551,6.9965423944
